,name1,,
1002,Forest restoration on a closed landfill:rapid addition of new species by bird dispersal,Forest restoration on a closed landfill:rapid addition of new species by bird dispersal,
1003,Impact on the greenhouse effect of peat mining and combustion,Impact on the greenhouse effect of peatmining and combustion,
1004,"Rodríguez-Trelles, F., & Rodríguez, M. A. (1998). Rapid micro-evolution and loss of chromosomal diversity in Drosophila in response to climate warming. Evolutionary Ecology, 12(7), 829–838. doi:10.1023/a:1006546616462?",Rapid micro-evolution andloss of chromosomal diversity in Drosophila in response to climatewarming,
1006,Plant responses to atmospheric CO2?enrichment with emphasis on roots and the rhizosphere,Plant responses to atmosphericC O2 enrichment with emphasis on roots and the rhizosphere,
1007,"Effects of climate and forest structure on duration of forest tent caterpillar outbreaks across central Ontario, Canada","Effects of climate and foreststructure on duration of forest tent caterpillar outbreaks across centralOntario, Canada",
1008,Ecology and climate: research strategies and implications,Ecology and climate: research strategiesand implications,
1009,World food markets into the 21st century: environmental and resource constraints and policies,Wor ld food marke ts in to the 21s tc e ntury: environmental and resource constraints and policies,
1010,Global food projections to 2020: implications for investment,Global FoodProjections to Implications for Investment,
1013,"Climate Change and U.S. Agriculture: The Impacts of Warming and Extreme Weather Events on Productivity, Plant Diseases, and Pests","Climate Change and U.S. Agriculture: The Impacts of Warming andExtreme Weather Events on Productivity, Plant Diseases, and Pests",
1014,Elevated CO2?effects on carbon and nitrogen cycling in grass/clover turves of a Psammaquent soil,Elevated CO2 effects on carbon and nitrogen cycling in grass/cloverturves of a Psammaquent soil,
1015,Sea-Level Rise and the Reduction in Pine Forests in the Florida Keys,Sea-level riseand the reduction in pine forests in the Florida keys,
1016,Low boreal wetlands as a source of atmospheric methane ,Low boreal wetlands as a source of atmosphericmethane,
1017,The effect of forestry drainage practices on the emission of methane from northern peatlands,The effect of forestry drainage practiceson the emission of methane from northen peatlands,
1018,Methane flux from drained northern peatlands: Effect of a persistent water table lowering on flux,Methane flux fromdrained northern peatland: effect of persistent water table lowering onflux,
1019,Northern fens:methane flux and climatic change,Northern fens:methane flux and climatic change,
1020,CO2 and CH4 flux between a boreal beaver pond and the atmosphere,CO2 and CH 4 flux between a boreal beaver pond and the atmosphere,
1021,Effects of climate change on the freshwaters of Arctic and Subarctic North America,Effects of climate change on the freshwaters of Arctic andSubarctic North America,F reshwater Ecosystems and ClimateChange in North America
1022,Population dynamics of the spruce budworm Choristoneura fumiferana,Population dynamics of the spruce budworm Choristoneurafumiferana,
1028,Constraints on Sustainable Growth in Agricultural Production: Into the 21st Century,Constraints on sustainable growth in agricultural production:into the twenty-first century,"The Economics of A g r i c u l t u re, Volume 2:Papers in Honor o f D . Ga le Johnson"
1029,"Effects of raised CO2?on potential CH4?production and oxidation in, and CH4?emission from, a boreal mire","Effects of raisedCO2 on potential CH4 production and oxidation in, and CH4 emissionfrom, a boreal mire",
1032,Global biodiversity scenarios for the year 2100,Biodiversity: global biodiversityscenarios for the year 2100,Peatlandsin Finland
1033,Elevated CO2 effects on water use and growth of maize in wet and drying soil,Elevated CO2 effects on water useand growth of maize in wet and drying soil,
1034,Soil Water Content Under Plants at High CO2 Concentration and Interactions with the Direct CO2 Effects: A Species Comparison,Soil water content under plants athigh CO 2 concentration and interactions with the direct CO2 effects: aspecies comparison,
1042,"Climatic, edaphic, and biotic controls over storage and turnover of carbon in soils","Climatic, edaphic andbiotic controls over storage and turnover of carbon in soils",
1043,Contribution of Increasing CO2?and Climate to Carbon Storage by Ecosystems in the United States,Contrbution of increasingCO2 and climate to carbon storage by ecosystems in the United States,
1044,Plant transport and methane production as controls on methane flux from arctic wet meadow tundra,Plant transport and methane production as controls onmethane flux from Arctic wet meadow tundra,
1045,WIDESPREAD EFFECTS OF CLIMATIC WARMING ON FRESHWATER ECOSYSTEMS IN NORTH AMERICA,Widespread effects of climatic warming on freshwaterecosystems in North America,
1046,The biosphere as an increasing sink for atmospheric carbon: Estimates from increased nitrogen depostion,The biosphere as an increasing sinkfor atmospheric carbon: estimates from increased nitrogen deposition,
1047,Towards a standard methodology for greenhouse gas balances of bioenergy systems in comparison with fossil energy systems,Towards a standardmethodology fo r g reenhou se ga s ba lance s o f b ioenergy sys tems inc o mparison with fossil energy systems,
1048,Biogeochemistry: An Analysis of Global Change,Biogeochemistry: An Analysis of Global Change,
1049,Ecological Implications of Climate Change Will Include Surprises,Ecological implications of climatechange will include surprises,
1051,"Carbon dioxide fluxes in a northern fen during a hot, dry summer","Carbon dioxide fluxes in a northern fen during a hot, dry summer",
1052,Productivity of forests in the Eurosiberian boreal region and their potential to act as a carbon sink - a synthesis,Productivity offorests in the Eurosiberian boreal region and their potential to act as acarbon sink: a synthesis,
1054,Ecological effects of river ice break-up: a review and perspective,Ecological effects of river ice break-up: a review and perspective,
1055,The importance of the Nilo and Nguu North Forest Reserves for the conservation of montane forest birds in Tanzania,The importance of the Nilo andNguu North Forest Reserves for the conservation of montane forest birdsin Tanzania,
1056,Long Term Adequacy of World Timber Supply,Long Term Adequacy of World Timber Supply,
1057,The potential of high-yield plantation forestry for meeting timber needs,The potential of high-yield plantation forestry for meetingtimber needs,
1058,Methane production and methane consumption: a review of processes underlying wetland methane fluxes,Methane production and methane consumption: a review ofprocesses underlying wetland methane fluxes,
1061,"BOREAS in experiment overview, scientific results, and future directions","BOREASin experiment overview, scientific results, and future directions",
1062,Climatic variability and the modelling of crop yields,Climatic variability and the modellingof crop yields,
1068,Rates of speciation in the fossil record,Rates of speciation in the fossil record,
1071,A three-year study of controls on methane emissions from two Michigan peatlands.,A three-year study of controls ofmethane emissions from two Michigan peatlands,
1073,Global change and the carbon balance of Arctic ecosystems,Global change and the carbonbalance of Arctic ecosystems,
1074,Global warming and terrestrial ecosystems: a conceptual framework for analysis,Globalwarming and terrestrial ecosystems: a conceptual framework for analysis,
1077,Phytomass ( live biomass) and carbon of Siberian Forests,Phy tomass ( l iveb i omass) and carbon of Siberian Forests,
1078,Propagation of endangered birds in U.S. institutions: how much space is there? ,"Propagation of endangered birds in U.S. institutions: howmuch space is there? Zoo Biology, 14, 197鈥?10",
1085,"Groundwater Flow in a Bog-Fen Complex, Lost River Peatland, Northern Minnesota","Groundwater flow in a bog-fen complex,Lost River Peatland, Northern Minnesota",
1086,Climate-driven flushing of pore water in peatlands,Climate-driven flushing of pore water in peatlands,
1088,CO2 fluxes from peat in boreal mires under varying temperature and moisture conditions,CO 2fluxes from peat in boreal mires under varying temperature and moistureconditions,
1093,First-egg date fluctuations for the Pied Flycatcher Ficedula Hypoleuca in the woodlands of mid-Wales in the twentieth century,First-egg date fluctuations for the Pied Flycatcher Ficedulahypoleuca in the woodlands of mid-Wales in the twentieth century,
1094,Revegetation of peat excavations in a derelict raised bog,R ev eg e t a t ion o f p e a te x c avations in a derelict raised bog,
1095,Corn hybrid selection and climatic variability: gambling with nature?,"Corn hybrid selection and climaticvariability: gambling with nature? The Canadian Geographer, 4 1 , 4 2 9 鈥?4 3 8",
1096,The influence of climate change on the body mass of woodrats Neotoma in an arid region of New Mexico,The influence of climatechange on the body mass of woodrats Neotoma in an arid region of NewMexico,Foundations forEcological Research West of the Antarctic Peninsula
1097,A comparison of the performance of nine soil organic matter models using datasets from seven long-term experiments,A comparison of theperformance of nine soil organic matter models using datasets fromseven long-term experiments,
1099,The transient response of terrestrial carbon storage to a perturbed climate,The transient response of terrestrial carbonstorage to a perturbed climate,
1100,Human adaptation to climatic variability and change,Human adaptation to climatic variability andchange,
1105,"Forest management ,conservation, and global timber markets","Fo r e s t m an ag em en t ,c o nservation, and global timber markets",
1108,Climate change and terrestrial biomass: what if trees do not migrate?,"C l ima te change and terres tr ia lb i omass: what if trees do not migrate? Global Ecology andBiogeography Letters, 6, 139鈥?48",
1109,"Boreal forest carbon stocks and wood supply: past, present, and future responses to changing climate, agriculture,and species availability","Boreal forest carbon stocks and woodsupply: past, present, and future responses to changing climate, agriculture,and species availability",
1111,Potential impact of global climate change on forest distribution in Sri Lanka,Potential impact of global climatechange on forest distribution in Sri Lanka,
1112,Indonesian peat swamp forests and their role as a carbon sink,Indones ian pea t swamp fo res ts and the i r ro le as ac a rbon sink,
1118,Estimating the economic value of honey bees(Hymenoptera:Apidae) as agricultural pollinators in the United States,Estimating the economic value of honey bees(Hymenoptera:Apidae) as agricultural pollinators in the United States,
1119,Consequences of future climate change and changing climate variability on maize yields in the midwestern United States,Consequences of future climate change and changingclimate variability on maize yields in the midwestern United States,
1120,Phenology and the changing pattern of bird migration in Britain,Phenology and the changing pattern of bird migration inBritain,
1123,Terrestrial sedimentation and the carbon cycle: coupling weathering and erosion to carbon burial,Terrestrial sedimentation and the carbon cycle: couplingweathering and erosion to carbon burial,
1125,Model of transient changes in Arctic and boreal vegetation in response to climate and land use change,Model of transient changes in Arcticand boreal vegetation in response to climate and land use change,
1126,Endemic Bird Areas of the World: Priorities for Biodiversity Conservation,EndemicBird Areas of the World: Priorities for Biodiversity Conservation,
1127,Model simulations of dissolved oxygen characteristics of Minnesota lakes: past and future,Mode l s imu la t ions of d isso lved oxygenc h a racteristics of Minnesota lakes: past and future,
1128,The terrestrial carbon cycle: implications for the Kyoto Protocol,The terrestrial carbon cycle: implications for the Kyoto Protocol,
1129,"Effects of elevated CO2 on an artificial grassland community: competition, invasion and neighbourhood growth","Effects of elevated CO2 on an artificial grasslandcommunity: competition, invasion and neighbourhood growth",
1130,Simulating the effects of climate change on tropical montane cloud forests,Simulating the effects ofc l imate change on tropical montane cloud forests,
1132,Possible impacts of climatic warming on polar bears,Possible impacts of climatic warmingon polar bears,
1134,Woody seedling dynamics in an east Texas floodplain forest,Woody seedlingdynamics in an east Texas floodplain forest,
1137,"Laboratory and field investigations on the ability of eggs of the European pine sawfly, Neodiprion sertifer (Geoffroy) to withstand low winter temperatures","Laboratory and field investigations on the ability of eggsof the European pine sawfly, Neodiprion sertifer (Geoffroy) to withstandlow winter temperatures",
1140,Season-long measurement of carbon dioxide exchange in a boreal fen,Season-long measurementsof carbon dioxide exchange in a boreal fen,
1142,Late Cenozoic birds of Buenos Aires Province (Argentina): an attempt to document quantitative faunal changes,Late Cenozoic birds ofBuenos Aires Province (Argentina): an attempt to document quantitativefaunal changes,
1144,Elevated CO2 and moisture effects on soil carbon storage and cycling in temperate grasslands,Elevated CO2 and moisture effects on soil carbonstorage and cycling in temperate grasslands,
1145,A Siberian vegetation model based on climatic parameters,A S i b e r i a nv e getation model based on climatic parameters,
